,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
12333,Smally's Resto Cafe,Yes,No,4.3,3548,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Cafes
12336,Wolf'ish,Yes,No,4.1,461,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,Cafes
12337,Tata Cha,Yes,No,3.9,67,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Cafes
12338,Starbucks,No,No,4.1,526,Church Street,Cafe,"Coffee, Java Chip Frappuccino, Brownie, Caramel Frappuccino, Blueberry Muffin, Hot Chocolate, Cappuccino","Cafe, Desserts",700,Cafes
12341,Green Theory,Yes,Yes,4.2,2840,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,Cafes
12344,Truffles,No,No,4.5,3573,St. Marks Road,Cafe,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika","Cafe, American, Burger, Steak",900,NA
12346,Glen's Bakehouse,Yes,No,4.4,1093,Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,Cafes
12350,Cafe Kaara,No,No,4.2,164,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Pasta, Fries","Cafe, Salad, Desserts, Pizza",750,Cafes
12351,CafMor'ish,Yes,No,4.1,115,Richmond Road,Cafe,"Coffee, Pizza, Pasta, Burgers, Eggs Benedict, Brownie Fudge, Salad","BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Cafes
12352,Fabcafe,Yes,Yes,4.1,55,MG Road,Cafe,NA,"Cafe, Healthy Food",800,Cafes
